seqid,OTU,read_count,sporo_read_count,rel_abd,domain,phylum,class,order,family,genus,mouse_type,polysacc,replicate
psac.001,Otu15,0,26722,0,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Muribaculaceae,Muribaculum,EC,amylopectin,1
psac.001,Otu11,0,26722,0,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,EC,amylopectin,1
psac.001,Otu6,0,26722,0,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Muribaculaceae,Paramuribaculum,EC,amylopectin,1
psac.001,Otu18,0,26722,0,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,EC,amylopectin,1
psac.001,Otu9,0,26722,0,Bacteria,Verrucomicrobia,Verrucomicrobiae,Verrucomicrobiales,Akkermansiaceae,Akkermansia,EC,amylopectin,1
psac.001,Otu34,0,26722,0,Bacteria,Firmicutes,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,Dubosiella,EC,amylopectin,1
psac.001,Otu48,0,26722,0,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Porphyromonadaceae,Parabacteroides,EC,amylopectin,1
psac.001,Otu73,0,26722,0,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Kineothrix,EC,amylopectin,1
psac.001,Otu37,0,26722,0,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Muribaculaceae,Paramuribaculum,EC,amylopectin,1
psac.001,Otu234,0,26722,0,Bacteria,Actinobacteria,Coriobacteriia,Eggerthellales,Eggerthellaceae,Adlercreutzia,EC,amylopectin,1
psac.001,Otu50,1,26722,7.92393026941363e-5,Bacteria,Firmicutes,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,Turicibacter,EC,amylopectin,1
psac.001,Otu133,0,26722,0,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Bacteroides,EC,amylopectin,1
psac.001,Otu4,2,26722,1.584786053882726e-4,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Ligilactobacillus,EC,amylopectin,1
psac.001,Otu8,1,26722,7.92393026941363e-5,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,EC,amylopectin,1
psac.001,Otu123,0,26722,0,Bacteria,Actinobacteria,Coriobacteriia,Eggerthellales,Eggerthellaceae,Adlercreutzia,EC,amylopectin,1
psac.001,Otu136,0,26722,0,Bacteria,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,EC,amylopectin,1
psac.001,Otu346,1,26722,7.92393026941363e-5,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Blautia,EC,amylopectin,1
psac.001,Otu513,0,26722,0,Bacteria,Firmicutes,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,Amedibacillus,EC,amylopectin,1
psac.001,Otu367,1,26722,7.92393026941363e-5,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Flavonifractor,EC,amylopectin,1
psac.001,Otu53,0,26722,0,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Limosilactobacillus,EC,amylopectin,1
psac.001,Otu93,0,26722,0,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Clostridium_XlVa,EC,amylopectin,1
psac.001,Otu7,3,26722,2.3771790808240888e-4,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Muribaculaceae,Paramuribaculum,EC,amylopectin,1
psac.001,Otu334,0,26722,0,Bacteria,Actinobacteria,Coriobacteriia,Eggerthellales,Eggerthellaceae,Adlercreutzia,EC,amylopectin,1
psac.001,Otu44,0,26722,0,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Oscillibacter,EC,amylopectin,1
psac.001,Otu153,0,26722,0,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae_2,Alkaliphilus,EC,amylopectin,1
psac.001,Otu120,1,26722,7.92393026941363e-5,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Clostridium_IV,EC,amylopectin,1
psac.001,Otu102,1,26722,7.92393026941363e-5,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Acetatifactor,EC,amylopectin,1
psac.001,Otu205,0,26722,0,Bacteria,Actinobacteria,Coriobacteriia,Eggerthellales,Eggerthellaceae,Adlercreutzia,EC,amylopectin,1
psac.001,Otu32,0,26722,0,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Ligilactobacillus,EC,amylopectin,1
psac.001,Otu338,0,26722,0,Bacteria,Actinobacteria,Coriobacteriia,Eggerthellales,Eggerthellaceae,Adlercreutzia,EC,amylopectin,1
psac.001,Otu406,0,26722,0,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Butyrivibrio,EC,amylopectin,1
psac.001,Otu68,0,26722,0,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Enterocloster,EC,amylopectin,1
psac.001,Otu311,0,26722,0,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Intestinimonas,EC,amylopectin,1
psac.001,Otu389,0,26722,0,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Mediterraneibacter,EC,amylopectin,1
psac.001,Otu117,1,26722,7.92393026941363e-5,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Flintibacter,EC,amylopectin,1
psac.001,Otu106,0,26722,0,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Schaedlerella,EC,amylopectin,1
psac.001,Otu258,0,26722,0,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Butyrivibrio,EC,amylopectin,1
psac.001,Otu60,1,26722,7.92393026941363e-5,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Lawsonibacter,EC,amylopectin,1
psac.001,Otu433,0,26722,0,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Neglecta,EC,amylopectin,1
psac.001,Otu33,0,26722,0,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Muribaculaceae,Duncaniella,EC,amylopectin,1
psac.001,Otu24,0,26722,0,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,EC,amylopectin,1
psac.001,Otu5,0,26722,0,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Muribaculaceae,Muribaculum,EC,amylopectin,1
psac.001,Otu281,0,26722,0,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Clostridium_IV,EC,amylopectin,1
psac.001,Otu459,0,26722,0,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,EC,amylopectin,1
