OTU,Kingdom,Phylum,Class,Order,Family,Genus
Otu1,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Muribaculaceae,
Otu2,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus
Otu3,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Muribaculaceae,
Otu4,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Ligilactobacillus
Otu5,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Muribaculaceae,
Otu6,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides
Otu7,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotellaceae UCG-001
Otu8,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Muribaculaceae,
Otu9,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,
Otu10,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Limosilactobacillus
Otu11,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,NA,
Otu12,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,
Otu13,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Muribaculaceae,
Otu14,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Muribaculaceae,
Otu15,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,
Otu16,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,NA,
Otu17,Bacteria,Firmicutes,Bacilli,Erysipelotrichales,Erysipelotrichaceae,Turicibacter
Otu18,Bacteria,Firmicutes,Clostridia,Oscillospirales,[Eubacterium] coprostanoligenes group,
Otu19,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,
Otu20,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides
Otu21,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides
Otu22,Bacteria,Firmicutes,Clostridia,Oscillospirales,Ruminococcaceae,Faecalibacterium
Otu23,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Muribaculaceae,
Otu24,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,NA,
Otu25,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Muribaculaceae,
Otu26,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Muribaculaceae,
Otu27,Bacteria,Firmicutes,Clostridia,Oscillospirales,Oscillospiraceae,
Otu28,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Muribaculaceae,
Otu29,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus
Otu30,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Muribaculaceae,
Otu31,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Muribaculaceae,
Otu32,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,uncultured
Otu33,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,A2
Otu34,Bacteria,Synergistota,Synergistia,Synergistales,Synergistaceae,Cloacibacillus
Otu35,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,
Otu36,Bacteria,Firmicutes,Clostridia,Clostridia UCG-014,NA,
Otu37,Archaea,Euryarchaeota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanobrevibacter
Otu38,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Lachnospiraceae UCG-006
Otu39,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,
Otu40,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,
Otu41,Bacteria,Firmicutes,Bacilli,NA,NA,
Otu42,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lacticaseibacillus
Otu43,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Muribaculaceae,
Otu44,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Ligilactobacillus
Otu45,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Marvinbryantia
Otu46,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Muribaculaceae,
Otu47,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,A2
Otu48,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,
Otu49,Bacteria,Firmicutes,Clostridia,Oscillospirales,Ruminococcaceae,Ruminococcus
Otu50,Bacteria,Firmicutes,Clostridia,Oscillospirales,Ruminococcaceae,Ruminococcus
Otu51,Bacteria,Firmicutes,Clostridia,Oscillospirales,Oscillospiraceae,uncultured
Otu52,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes
Otu53,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Muribaculaceae,
Otu54,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,
Otu55,Bacteria,Actinobacteriota,Coriobacteriia,Coriobacteriales,Eggerthellaceae,
Otu56,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,[Eubacterium] xylanophilum group
Otu57,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,NA,
Otu58,Bacteria,Firmicutes,Clostridia,Clostridia UCG-014,NA,
Otu59,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Candidatus Arthromitus
Otu60,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,
Otu61,Bacteria,Desulfobacterota,Desulfovibrionia,Desulfovibrionales,Desulfovibrionaceae,Desulfovibrio
Otu62,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Muribaculaceae,
Otu63,Bacteria,Actinobacteriota,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium
Otu64,Bacteria,Actinobacteriota,Coriobacteriia,Coriobacteriales,Eggerthellaceae,
Otu65,Bacteria,Firmicutes,Clostridia,Clostridia UCG-014,NA,
Otu66,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,
Otu67,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,
Otu68,Bacteria,Firmicutes,Clostridia,Oscillospirales,Oscillospiraceae,
Otu69,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,
Otu70,Bacteria,Firmicutes,Bacilli,RF39,NA,
Otu71,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium sensu stricto 1
Otu72,Bacteria,Firmicutes,Clostridia,Oscillospirales,Ruminococcaceae,
Otu73,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Lachnospiraceae NK4A136 group
Otu74,Bacteria,Firmicutes,Clostridia,Clostridia UCG-014,NA,
Otu75,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,
Otu76,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides
Otu77,Bacteria,Firmicutes,Clostridia,Clostridia UCG-014,NA,
Otu78,Bacteria,Actinobacteriota,Coriobacteriia,Coriobacteriales,Coriobacteriaceae,Collinsella
Otu79,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,NA,
Otu80,Bacteria,Firmicutes,Clostridia,Clostridia UCG-014,NA,
Otu81,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes
Otu82,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,NA,
Otu83,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,ASF356
Otu84,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Muribaculaceae,
Otu85,Bacteria,Firmicutes,Clostridia,Oscillospirales,[Eubacterium] coprostanoligenes group,
Otu86,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,
Otu87,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,
Otu88,Bacteria,Firmicutes,Bacilli,Erysipelotrichales,Erysipelatoclostridiaceae,
Otu89,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Muribaculaceae,
Otu90,Bacteria,Actinobacteriota,Coriobacteriia,Coriobacteriales,Eggerthellaceae,Enterorhabdus
Otu91,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Verrucomicrobiales,Akkermansiaceae,Akkermansia
Otu92,Bacteria,NA,NA,NA,NA,
Otu93,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,
Otu94,Bacteria,Firmicutes,Clostridia,Oscillospirales,NA,
Otu95,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,
